"ID","FULL NAME","MAILING STREET","MAILING CITY","MAILING STATE/PROVINCE","MAILING ZIP/POSTAL CODE","MAILING COUNTRY","PHONE","EMAIL","STATUS"
"0030a00001rv47IAAQ","Heath Axworth","3640 Sacramento St","San Francisco","CA","94118","United States","(415) 555-4142","haxworth@example.com","Item Created"
"0030a00001rv47JAAQ","Mina Passini","598 Haight St","San Francisco","CA","94117","United States","(415) 555-5561","mpassini@example.com","Item Created"
"0030a00001rv47KAAQ","Karen Wells","1700 E Bayshore Rd","East Palo Alto","CA","94303","United States","(650) 555-3514","kwells@example.com","Item Created"
"0030a00001rv47LAAQ","Mike Welch","807 Telegraph Ave","Oakland","CA","94612","United States","(510) 555-2151","mwelch@example.com","Item Created"
"0030a00001rv47MAAQ","Wes Hardin","5801 College Ave","Oakland","CA","94618","United States","(510) 555-3664","whardin@example.com","Item Created"
"0030a00001rv47NAAQ","May Chan","6217 Santa Teresa Blvd","San Jose","CA","95119","United States","(537) 555-2247","mchan@example.com","Item Created"
"0030a00001rv47OAAQ","Sarah Phillips","240 E 3rd Ave","San Mateo","CA","94401","United States","(794) 555-4703","sphillips@example.com","Item Created"
"0030a00001rv47PAAQ","Marc Benioff","1 Market Street","San Francisco","CA","94105","United States","(415) 555-7000","mbenioff@example.com","Item Created"
"0030a00001rv47QAAQ","Emilee Kendra","101 California St","San Francisco","CA","94105","United States","(415) 555-3688","ekendra@example.com","Item Created"
"0030a00001rv47RAAQ","Brad Anastasio","800 3rd Street","San Francisco","CA","94105","United States","(415) 555-9065","banastasio@example.com","Item Created"
"0030a00001rv47SAAQ","Antony Passemard","50 Fremont Street","San Francisco","CA","94105","United States","(415) 555-7722","apassemard@example.com","Item Created"
"0030a00001rv47TAAQ","Chris Post","1 Market St.","San Francisco","CA","94105","United States","(415) 555-5590","cpost@example.com","Item Created"
"0030a00001rv47UAAQ","Wes Chopra","660 Sutter St","Wichita","KS","67208","United States","(847) 555-5100","wchopra@example.com","Item Created"
"0030a00001rv47VAAQ","Greg Walker","899 N Broadview Ave","Wichita","KS","67208","United States","(847) 555-7858","gwalker@example.com","Item Created"
"0030a00001rv47WAAQ","Mary McDaniel","904 N Broadview Ave","San Francisco","CA","94105","United States","(866) 555-7014","mmcdaniel@example.com","Item Created"
"0030a00001rv47XAAQ","Doug Hart","899 N Broadview Ave","Wichita","KS","67208","United States","(847) 555-3116","dhart@example.com","Item Created"
"0030a00001rv47YAAQ","Jason Brennaman","707 17th Street","Denver","CO","80202","United States","(847) 555-1237","jason.brennaman@example.com","Item Created"
"0030a00001rv47ZAAQ","Nicole Grace","915 N Broadview Ave","Wichita","KS","67208","United States","(203) 555-2801","ngrace@example.com","Item Created"
"0030a00001rv47aAAA","Benjamin Young","914 N Broadview Ave","Wichita","KS","67208","United States","(713) 555-2977","byoung@example.com","Item Created"
"0030a00001rv47bAAA","Bob Warkentine","912 N Broadview Ave","Wichita","KS","67208","United States","(646) 555-2296","bwarkentine@example.com","Item Created"
"0030a00001rv47cAAA","Robert Janzen","911 N Broadview Ave","Wichita","KS","67208","United States","(858) 555-8991","rjanzen@example.com","Item Created"
"0030a00001rv47dAAA","Chip Colli","910 N Broadview Ave","Wichita","KS","67208","United States","(206) 555-7855","ccolli@example.com","Item Created"
"0030a00001rv47eAAA","Niki Sullivan","909 N Broadview Ave","Wichita","KS","67208","United States","(702) 555-3769","nsullivan@example.com","Item Created"
"0030a00001rv47fAAA","Jon Allegri","905 N Broadview Ave","Wichita","KS","67208","United States","(813) 555-5220","jallegri@example.com","Item Created"
"0030a00001rv47gAAA","Kari Rende","908 N Broadview Ave","Wichita","KS","67208","United States","(630) 555-4403","krende@example.com","Item Created"
"0030a00001rv47hAAA","Mike Malmin","907 N Broadview Ave","Wichita","KS","67208","United States","(317) 555-6312","mmalmin@example.com","Item Created"
"0030a00001rv47iAAA","Troy Bullock","906 N Broadview Ave","Wichita","KS","67208","United States","(704) 555-7526","tbullock@example.com","Item Created"
"0030a00001rv47jAAA","Hamid Basirat","1958 Stamford","Monroe","IA","50170","United States","(875) 555-6626","hbasirat@example.com","Item Created"
"0030a00001rv47kAAA","Bree Reitz","2852 Bagley Circle","San Francisco","CA","94167","United States","(453) 555-6139","breitz@example.com","Item Created"
"0030a00001rv47lAAA","Hollie Everhart","2832 Grotton Road","Hakalau","HI","96710","United States","(579) 555-5933","heverhart@example.com","Item Created"
"0030a00001rv47mAAA","Marci Viviano","1767 Oak Place","Tacoma","WA","98408","United States","(270) 555-9522","mviviano@example.com","Item Created"
"0030a00001rv47nAAA","Lloyd Archibald","1591 Hulet","Topeka","IN","46571","United States","(801) 555-7354","larchibald@example.com","Item Created"
"0030a00001rv47oAAA","Shay Dulaney","1225 Fourth","Pensacola","FL","32516","United States","(686) 555-8285","sdulaney@example.com","Item Created"
"0030a00001rv47pAAA","David Homme","2215 Oak Drive","Eugene","OR","97404","United States","(759) 555-1632","dhomme@example.com","Item Created"
"0030a00001rv47qAAA","Cristin Hwang","2009 Dawson","Rushmore","MN","56168","United States","(806) 555-6846","chwang@example.com","Item Created"
"0030a00001rv47rAAA","Laura Rossi","Avenue de la Roseraie 64","Gen?ve","","1205","Switzerland","(611) 555-1661","rmorris@example.com","Item Created"
"0030a00001rv47sAAA","Adam Mercer","6069 NE 49th Ave","Littleton","CO","80211","United States","(794) 555-5480","amercer@example.com","Item Created"
"0030a00001rv47tAAA","Joyce Turner","6069 NE 49th Ave","Littleton","CO","80211","United States","(794) 555-7515","jturner@example.com","Item Created"
"0030a00001rv47uAAA","Steve Ideas","3418 Poplar Ave","Shelby","TN","38111","United States","(674) 555-7660","sideas@example.com","Item Created"
"0030a00001rv47vAAA","Sean Silver","1 S. Dearborn","Chicago","IL","94105","United States","(792) 555-5309","ssilver@example.com","Item Created"
"0030a00001rv47wAAA","Barry Brown","500 Market Street","San Francisco","CA","94105","United States","(319) 555-5270","bbrown@example.com","Item Created"
"0030a00001rv47xAAA","Sandy Jones","900 N Broadview Ave","Wichita","KS","67208","United States","(261) 555-3205","sjones@example.com","Item Created"
"0030a00001rv47yAAA","Bradley Harmon","899 N Broadview Ave","Wichita","KS","67208","United States","(261) 555-6425","bharmon@example.com","Item Created"
"0030a00001rv47zAAA","Bruce Watkins","69 Oberlin","Stevens Point","WI","54481","United States","(631) 555-8821","bwatkins@example.com","Item Created"
"0030a00001rv480AAA","Bonnie Barra","3484 Pinklon Circle","San Miguel","CA","93451","United States","(261) 555-6229","bbarra@example.com","Item Created"
"0030a00001rv481AAA","Jamie Green","223 Polk Street","San Francisco","CA","94133","United States","(537) 555-7796","jgreen@example.com","Item Created"
"0030a00001rv482AAA","Jan Perkins","5680 Hardwoods Cove","Friedensburg","PA","17933","United States","(767) 555-8343","jperkins@example.com","Item Created"
"0030a00001rv483AAA","Ryan Giggs","405 S Stricker St","Baltimore","MD","21223","United States","(266) 555-4756","rgiggs@example.com","Item Created"
"0030a00001rv484AAA","Andrea Bowden","100 L Street","Boston","MA","2051","United States","(655) 555-9967","abowden@example.com","Item Created"
"0030a00001rv485AAA","Sarah Jeffries","5815 Fairview Pl N","King","WA","98109","United States","(296) 555-7307","sjeffries@example.com","Item Created"
"0030a00001rv486AAA","Chris Templey","26 Boot Rd","Delaware","PA","19073","United States","(874) 555-9359","ctempley@example.com","Item Created"
"0030a00001rv487AAA","Kathy Fitzpatrick","730 Bounty Dr.","Foster City","CA","94404","United States","(231) 555-6665","kfitzpatrick@example.com","Item Created"
"0030a00001rv488AAA","Derek Rose","6805 15th Ave NW","King","WA","98117","United States","(575) 555-2613","drose@example.com","Item Created"
"0030a00001rv489AAA","Lisa Jones","47 S Galapago St","Denver","CO","80223","United States","(904) 555-4358","ljones@example.com","Item Created"
"0030a00001rv48AAAQ","Jeff Blay","1678 50th Ave","Alameda","CA","94601","United States","(487) 555-4995","jblay@example.com","Item Created"
"0030a00001rv48BAAQ","Ron Reid","3262 47th St","San Diego","CA","92105","United States","(935) 555-8160","rreid@example.com","Item Created"
"0030a00001rv48CAAQ","Bill Blau","62 Chatham Pl","San Francisco","CA","94108","United States","(867) 555-2951","bblau@example.com","Item Created"
"0030a00001rv48DAAQ","Judy Odom","1984 Gufford Dr","New Hanover","NC","28403","United States","(689) 555-3077","jodom@example.com","Item Created"
"0030a00001rv48EAAQ","Tammy Baxter","850 Mission St","San Francisco","CA","94103","United States","(415) 555-3930","tbaxter@example.com","Item Created"
"0030a00001rv48FAAQ","Peter Houston","2230 W 63rd St","Cook","IL","60636","United States","(415) 555-4707","phouston@example.com","Item Created"
"0030a00001rv48GAAQ","Larry Baxter","5970 Seville Ave","Los Angeles","CA","90255","United States","(310) 555-4786","lbaxter@example.com","Item Created"
"0030a00001rv48HAAQ","Tom Davis","309 8th Ave","Santa Cruz","CA","95062","United States","(643) 555-5886","tdavis@example.com","Item Created"
"0030a00001rv48IAAQ","Rose Gonzalez","4191 Tamarus St","Clark","NV","89119","United States","(776) 555-1601","rgonzalez@example.com","Item Created"
"0030a00001rv48JAAQ","Alex Johnson","4191 Tamarus St","Clark","NV","89119","United States","(526) 555-3205","ajohnson@example.com","Item Created"
"0030a00001rv48KAAQ","Tom James","4191 Tamarus St","Clark","NV","89119","United States","(932) 555-2450","tjames@example.com","Item Created"
"0030a00001rv48LAAQ","Ed Flachbarth","178 San Jose Ave","Santa Clara","CA","95125","United States","(475) 555-2054","eflachbarth@example.com","Item Created"
"0030a00001rv48MAAQ","James Wu","12011 Government Center Pkwy","Fairfax","VA","22035","United States","(274) 555-7584","jwu@example.com","Item Created"
"0030a00001rv48NAAQ","Mark Kingston","12011 Government Center Pkwy","Fairfax","VA","22035","United States","(769) 555-7272","mkingston@example.com","Item Created"
"0030a00001rv48OAAQ","Martin Woodson","16909 SE Alder St","Multnomah","OR","97233","United States","(750) 555-8377","wmartin@example.com","Item Created"
"0030a00001rv48PAAQ","Jeannie Rogers","4191 Tamarus St","Clark","NV","89119","United States","(875) 555-9710","jrogers@example.com","Item Created"
"0030a00001rv48QAAQ","Arthur Song","3418 Poplar Ave","Shelby","TN","38111","United States","(772) 555-5429","asong@example.com","Item Created"
"0030a00001rv48RAAQ","Patricia Feager","3418 Poplar Ave","Shelby","TN","38111","United States","(423) 555-2615","pfeager@example.com","Item Created"
"0030a00001rv48SAAQ","George Mazzotta","3418 Poplar Ave","Shelby","TN","38111","United States","(520) 555-5807","gmazzotta@example.com","Item Created"
"0030a00001rv48TAAQ","Danielle Hauck","3418 Poplar Ave","Shelby","TN","38111","United States","(219) 555-1644","dhauck@example.com","Item Created"
"0030a00001rv48UAAQ","Martin Green","16909 SE Alder St","Multnomah","OR","97233","United States","(280) 555-9701","mgreen@example.com","Item Created"
"0030a00001rv48VAAQ","Thomas Green","3418 Poplar Ave","Shelby","TN","38111","United States","(639) 555-1713","tgreen@example.com","Item Created"
"0030a00001rv48WAAQ","Brenda Mcclure","3418 Poplar Ave","Shelby","TN","38111","United States","(415) 555-4922","bmcclure@example.com","Item Created"
"0030a00001rv48XAAQ","Joseph Gillespie","16909 SE Alder St","Multnomah","OR","97233","United States","(323) 555-2642","jgillespie@example.com","Item Created"
"0030a00001rv48YAAQ","Richard O'Brien Jr","16909 SE Alder St","Multnomah","OR","97233","United States","(726) 555-5626","robrien@example.com","Item Created"
"0030a00001rv48ZAAQ","Chris Friedman","3418 Poplar Ave","Shelby","TN","38111","United States","(227) 555-9079","cfriedman@example.com","Item Created"
"0030a00001rv48aAAA","Bjorn Lundgren","6039 E Northwest Hwy","Dallas","TX","75225","United States","(373) 555-9342","bolson@example.com","Item Created"
"0030a00001rv48bAAA","Peter Foss","16909 SE Alder St","Multnomah","OR","97233","United States","(453) 555-8461","pfoss@example.com","Item Created"
"0030a00001rv48cAAA","Janice Bergman","310 Henry St","New York","NY","10002","United States","(810) 555-9875","jbergman@example.com","Item Created"
"0030a00001rv48dAAA","Kyle Pearson","310 Henry St","New York","NY","10002","United States","(903) 555-7363","kpearson@example.com","Item Created"
"0030a00001rv48eAAA","Jean-Michel Lambert","310 Henry St","New York","NY","10002","United States","(544) 555-2450","jlambert@example.com","Item Created"
"0030a00001rv48fAAA","Robert Fontana","16909 SE Alder St","Multnomah","OR","97233","United States","(226) 555-5980","rfontana@example.com","Item Created"
"0030a00001rv48gAAA","Julie Dillon","310 Henry St","New York","NY","10002","United States","(533) 555-3116","jdillon@example.com","Item Created"
"0030a00001rv48hAAA","Bill Martin","310 Henry St","New York","NY","10002","United States","(673) 555-2802","bmartin@example.com","Item Created"
"0030a00001rv48iAAA","Billy Mack","310 Henry St","New York","NY","10002","United States","(206) 555-4966","bmack@example.com","Item Created"
"0030a00001rv48jAAA","Ed Hennessy","2056 Laurel Ave","Jefferson","TX","77701","United States","(699) 555-3781","ehennessy@example.com","Item Created"
"0030a00001rv48kAAA","Erin Walsh","5628 SE Alder St","Multnomah","OR","97215","United States","(925) 555-6788","ewalsh@example.com","Item Created"
"0030a00001rv48lAAA","Sean Forbes","4191 Tamarus St","Clark","NV","89119","United States","(237) 555-2784","sforbes@example.com","Item Created"
"0030a00001rv48mAAA","Allison Yates","390 Harris Street","Sydney","NSW","2007","Australia","(239) 555-1562","ayates@example.com","Item Created"
"0030a00001rv48nAAA","Tammy Reseller","4191 Tamarus St","Clark","NV","89119","United States","(573) 555-9103","treseller@example.com","Item Created"
"0030a00001rv48oAAA","Michael Basch","4191 Tamarus St","Clark","NV","89119","United States","(753) 555-5337","mbasch@example.com","Item Created"
"0030a00001rv48pAAA","Thomas Simes","4191 Tamarus St","Clark","NV","89119","United States","(519) 555-7883","tsimes@example.com","Item Created"
"0030a00001rv48qAAA","Stephanie Curran","178 San Jose Ave","Santa Clara","CA","95125","United States","(690) 555-3122","scurran@example.com","Item Created"
"0030a00001rv48rAAA","Stella Pavlova","390 Harris Street","Sydney","NSW","2007","Australia","(842) 555-9587","spavlova@example.com","Item Created"
"0030a00001rv48sAAA","Mark Dillon","390 Harris Street","Sydney","NSW","2007","Australia","(765) 555-3929","mdillon@example.com","Item Created"
"0030a00001rv48tAAA","Susan Johanson","390 Harris Street","Sydney","NSW","2007","Australia","(390) 555-5353","sjohanson@example.com","Item Created"
"0030a00001rv48uAAA","Jeff Kane","178 San Jose Ave","Santa Clara","CA","95125","United States","(385) 555-1733","jkane@example.com","Item Created"
"0030a00001rv48vAAA","Paul Partner","500 Battery Street","San Francisco","CA","94105","United States","(344) 555-5476","ppartner@example.com","Item Created"
"0030a00001rv48wAAA","Al Miller","178 San Jose Ave","Santa Clara","CA","95125","United States","(879) 555-6333","amiller@example.com","Item Created"
"0030a00001rv48xAAA","Keith Lopez","178 San Jose Ave","Santa Clara","CA","95125","United States","(528) 555-1170","klopez@example.com","Item Created"
"0030a00001rv48yAAA","Larry Kuchenreuther","1963 Border Ave","Los Angeles","CA","90501","United States","(446) 555-9042","lkuchenreuther@example.com","Item Created"
"0030a00001rv48zAAA","Mark Metz","178 San Jose Ave","Santa Clara","CA","95125","United States","(747) 555-7568","mmetz@example.com","Item Created"
"0030a00001rv490AAA","Steve Mcdonald","178 San Jose Ave","Santa Clara","CA","95125","United States","(631) 555-8643","smcdonald@example.com","Item Created"
"0030a00001rv491AAA","Sandy Knudson","17753 Gothard St","Orange","CA","92647","United States","(624) 555-5001","sknudson@example.com","Item Created"
"0030a00001rv492AAA","Ron Adkins","899 N Broadview Ave","Sedgwick","KS","67208","United States","(258) 555-2156","radkins@example.com","Item Created"
"0030a00001rv493AAA","David Harris","309 8th Ave","Santa Cruz","CA","95062","United States","(692) 555-3263","dharris@example.com","Item Created"
"0030a00001rv494AAA","Gabriel Silva","Rua Jasmin 560","13087Campinas","SP","13087","Brazil","(632) 555-9279","rlloyd@example.com","Item Created"
"0030a00001rv495AAA","Sean Murphy","178 San Jose Ave","Santa Clara","CA","95125","United States","(576) 555-1964","smurphy@example.com","Item Created"
"0030a00001rv496AAA","Sienna Competente","1419 Commerce Rd","Richmond (city)","VA","23224","United States","(672) 555-2472","scompetente@example.com","Item Created"
"0030a00001rv497AAA","Leo Novak","3544 Wedo St","Clark","NV","89031","United States","(656) 555-4875","lnovak@example.com","Item Created"
"0030a00001rv498AAA","Brad Owens","1419 Gunderson Ave","Cook","IL","60402","United States","(500) 555-1311","bowens@example.com","Item Created"
"0030a00001rv499AAA","Lauren Boyle","12011 Government Center Pkwy","Fairfax","CA","22035","United States","(415) 555-9303","lboyle@example.com","Item Created"
"0030a00001rv49AAAQ","Bob Hodges","2725 Quarry Rd","Montgomery","PA","19009","United States","(422) 555-5262","bhodges@example.com","Item Created"
